,title,price,rating,reviews,link,req
172,Футболка MY HEROES,441.0,4.9,29086.0,https://www.wildberries.ru/catalog/169711497/detail.aspx?targetUrl=MI,Футболка
173,Футболка больших размеров базовая BIRLIK,410.0,4.9,7154.0,https://www.wildberries.ru/catalog/163513407/detail.aspx?targetUrl=MI,Футболка
174,Хлопковая футболка оверсайз с принтом ТВОЕ,569.0,4.8,3471.0,https://www.wildberries.ru/catalog/165757252/detail.aspx?targetUrl=MI,Футболка
175,Футболка с принтом Медведь Нити-Нити,1497.0,4.9,1085.0,https://www.wildberries.ru/catalog/8672272/detail.aspx?targetUrl=MI,Футболка
176,Футболка хлопок однотонная PrimeStore,399.0,4.8,158907.0,https://www.wildberries.ru/catalog/39483634/detail.aspx?targetUrl=MI,Футболка
177,Футболка однотонная детская Baby Style,284.0,4.8,12156.0,https://www.wildberries.ru/catalog/33665261/detail.aspx?targetUrl=MI,Футболка
178,Футболка оверсайз с принтом картины Мона Лизы ТВОЕ,862.0,4.8,1868.0,https://www.wildberries.ru/catalog/169114637/detail.aspx?targetUrl=MI,Футболка
179,Футболка базовая MAAG,2253.0,4.4,28.0,https://www.wildberries.ru/catalog/291222293/detail.aspx,Футболка
180,Футболка базовая женская однотонная спортивная для фитнеса ТЕЛОДВИЖЕНИЯ,711.0,4.9,28381.0,https://www.wildberries.ru/catalog/221503705/detail.aspx,Футболка
181,Футболка мужская черная с иероглифами хлопок Япония Макс-Экстрим,681.0,4.8,19520.0,https://www.wildberries.ru/catalog/164437181/detail.aspx,Футболка
182,Футболка с принтом базовая Pink Bus,1458.0,4.8,17346.0,https://www.wildberries.ru/catalog/355945761/detail.aspx,Футболка
183,Футболка мужская серый меланж с иероглифами хлопок Япония Макс-Экстрим,681.0,4.8,19520.0,https://www.wildberries.ru/catalog/165377692/detail.aspx,Футболка
184,Футболка оверсайз y2k с принтом винтаж Pressure by WD,1005.0,4.7,11115.0,https://www.wildberries.ru/catalog/205859048/detail.aspx,Футболка
185,Футболка оверсайз с принтом MOSCOW ТЕЛОДВИЖЕНИЯ,859.0,4.8,26528.0,https://www.wildberries.ru/catalog/332646312/detail.aspx,Футболка
