,title,price,rating,reviews,link,req
147,Футболка женская белая базовая хлопок Pink Bus,1207,4.7,3281,https://www.wildberries.ru/catalog/68793349/detail.aspx,Футболка
148,Футболка мужская с принтом бордовая с надписью хлопок Макс-Экстрим,691,4.8,59950,https://www.wildberries.ru/catalog/10901739/detail.aspx,Футболка
149,Футболка вязаная черная оверсайз хлопок AL SAFIA,2443,4.7,52,https://www.wildberries.ru/catalog/218935466/detail.aspx,Футболка
150,Футболка белая однотонная ЛАЙКИ-МАЙКИ,458,4.9,73027,https://www.wildberries.ru/catalog/159263211/detail.aspx,Футболка
151,Футболка с принтом брендоваЯ Nike,1427,4.7,201,https://www.wildberries.ru/catalog/339025064/detail.aspx,Футболка
152,Футболка мужская базовая Беркут-ОЛ,408,4.8,21816,https://www.wildberries.ru/catalog/146248861/detail.aspx,Футболка
153,Футболка оверсайз y2k с принтом винтаж eminem эминем Issues by WD,1005,4.6,7148,https://www.wildberries.ru/catalog/202959449/detail.aspx,Футболка
154,Футболка хлопковая с принтом ,444,4.6,6929,https://www.wildberries.ru/catalog/261367022/detail.aspx,Футболка
155,Футболка оверсайз с принтом винтаж BS by WD,1005,4.7,11115,https://www.wildberries.ru/catalog/205859012/detail.aspx,Футболка
156,Нарядная футболка кофта с принтом блузка сетка DiDi Collections,2165,4.8,7330,https://www.wildberries.ru/catalog/240336617/detail.aspx,Футболка
157,Футболка оверсайз женская летняя ТЕЛОДВИЖЕНИЯ,1216,4.8,130950,https://www.wildberries.ru/catalog/321792809/detail.aspx,Футболка
158,Футболка варенка серая PARADISE SVETI,1429,4.8,25925,https://www.wildberries.ru/catalog/367070340/detail.aspx,Футболка
159,Футболка женская оверсайз с принтом WearZone,774,4.9,205,https://www.wildberries.ru/catalog/298908996/detail.aspx,Футболка
160,Футболка оверсайз с принтом мем ChupChi,1335,4.9,2024,https://www.wildberries.ru/catalog/297852250/detail.aspx,Футболка
179,Футболка базовая MAAG,2253,4.4,28,https://www.wildberries.ru/catalog/291222293/detail.aspx,Футболка
180,Футболка базовая женская однотонная спортивная для фитнеса ТЕЛОДВИЖЕНИЯ,711,4.9,28381,https://www.wildberries.ru/catalog/221503705/detail.aspx,Футболка
181,Футболка мужская черная с иероглифами хлопок Япония Макс-Экстрим,681,4.8,19520,https://www.wildberries.ru/catalog/164437181/detail.aspx,Футболка
182,Футболка с принтом базовая Pink Bus,1458,4.8,17346,https://www.wildberries.ru/catalog/355945761/detail.aspx,Футболка
183,Футболка мужская серый меланж с иероглифами хлопок Япония Макс-Экстрим,681,4.8,19520,https://www.wildberries.ru/catalog/165377692/detail.aspx,Футболка
